FileName,Tag,TagName,VR,Value
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0058) : DVHData;DecimalString;System.Double;0,01
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0060) : DVHReferencedROISequence;Sequence;EvilDICOM.Core.DICOMObject;DICOM Object [Unknown] : 2 Elements
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0062) : DVHROIContributionType;CodeString;System.String;INCLUDED
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3006,0084) : ReferencedROINumber;IntegerString;System.Int32;1
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0070) : DVHMinimumDose;DecimalString;System.Double;0,00153631182228
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0072) : DVHMaximumDose;DecimalString;System.Double;42,8063064012517
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0074) : DVHMeanDose;DecimalString;System.Double;3,53924138015777
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0001) : DVHType;CodeString;System.String;CUMULATIVE
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0002) : DoseUnits;CodeString;System.String;GY
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0004) : DoseType;CodeString;System.String;PHYSICAL
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0052) : DVHDoseScaling;DecimalString;System.Double;1
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0054) : DVHVolumeUnits;CodeString;System.String;CM3
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0056) : DVHNumberOfBins;IntegerString;System.Int32;4279
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0058) : DVHData;DecimalString;System.Double;0,01
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0060) : DVHReferencedROISequence;Sequence;EvilDICOM.Core.DICOMObject;DICOM Object [Unknown] : 2 Elements
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0062) : DVHROIContributionType;CodeString;System.String;INCLUDED
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3006,0084) : ReferencedROINumber;IntegerString;System.Int32;2
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0070) : DVHMinimumDose;DecimalString;System.Double;37,3278208285864
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0072) : DVHMaximumDose;DecimalString;System.Double;42,7702364715113
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0074) : DVHMeanDose;DecimalString;System.Double;40,05
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0001) : DVHType;CodeString;System.String;CUMULATIVE
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0002) : DoseUnits;CodeString;System.String;GY
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0004) : DoseType;CodeString;System.String;PHYSICAL
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0052) : DVHDoseScaling;DecimalString;System.Double;1
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0054) : DVHVolumeUnits;CodeString;System.String;CM3
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0056) : DVHNumberOfBins;IntegerString;System.Int32;4279
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0058) : DVHData;DecimalString;System.Double;0,01
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0060) : DVHReferencedROISequence;Sequence;EvilDICOM.Core.DICOMObject;DICOM Object [Unknown] : 2 Elements
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0062) : DVHROIContributionType;CodeString;System.String;INCLUDED
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3006,0084) : ReferencedROINumber;IntegerString;System.Int32;3
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0070) : DVHMinimumDose;DecimalString;System.Double;33,9023730541743
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0072) : DVHMaximumDose;DecimalString;System.Double;42,7702364715113
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0074) : DVHMeanDose;DecimalString;System.Double;39,788870218061
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0001) : DVHType;CodeString;System.String;CUMULATIVE
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0002) : DoseUnits;CodeString;System.String;GY
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0004) : DoseType;CodeString;System.String;PHYSICAL
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0052) : DVHDoseScaling;DecimalString;System.Double;1
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0054) : DVHVolumeUnits;CodeString;System.String;CM3
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0056) : DVHNumberOfBins;IntegerString;System.Int32;4282
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0058) : DVHData;DecimalString;System.Double;0,01
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0060) : DVHReferencedROISequence;Sequence;EvilDICOM.Core.DICOMObject;DICOM Object [Unknown] : 2 Elements
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0062) : DVHROIContributionType;CodeString;System.String;INCLUDED
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3006,0084) : ReferencedROINumber;IntegerString;System.Int32;4
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0070) : DVHMinimumDose;DecimalString;System.Double;0,00153631182228
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0072) : DVHMaximumDose;DecimalString;System.Double;42,8063064012517
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0074) : DVHMeanDose;DecimalString;System.Double;2,428872396136
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0001) : DVHType;CodeString;System.String;CUMULATIVE
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0002) : DoseUnits;CodeString;System.String;GY
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0004) : DoseType;CodeString;System.String;PHYSICAL
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0052) : DVHDoseScaling;DecimalString;System.Double;1
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0054) : DVHVolumeUnits;CodeString;System.String;CM3
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0056) : DVHNumberOfBins;IntegerString;System.Int32;1106
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0058) : DVHData;DecimalString;System.Double;0,01
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0060) : DVHReferencedROISequence;Sequence;EvilDICOM.Core.DICOMObject;DICOM Object [Unknown] : 2 Elements
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0062) : DVHROIContributionType;CodeString;System.String;INCLUDED
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3006,0084) : ReferencedROINumber;IntegerString;System.Int32;6
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0070) : DVHMinimumDose;DecimalString;System.Double;0,31873446104105
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0072) : DVHMaximumDose;DecimalString;System.Double;11,0429407672536
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0074) : DVHMeanDose;DecimalString;System.Double;0,93857231984201
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0001) : DVHType;CodeString;System.String;CUMULATIVE
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0002) : DoseUnits;CodeString;System.String;GY
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0004) : DoseType;CodeString;System.String;PHYSICAL
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0052) : DVHDoseScaling;DecimalString;System.Double;1
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0054) : DVHVolumeUnits;CodeString;System.String;CM3
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0056) : DVHNumberOfBins;IntegerString;System.Int32;3950
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0058) : DVHData;DecimalString;System.Double;0,01
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0060) : DVHReferencedROISequence;Sequence;EvilDICOM.Core.DICOMObject;DICOM Object [Unknown] : 2 Elements
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0062) : DVHROIContributionType;CodeString;System.String;INCLUDED
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3006,0084) : ReferencedROINumber;IntegerString;System.Int32;7
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0070) : DVHMinimumDose;DecimalString;System.Double;0,16868301987923
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0072) : DVHMaximumDose;DecimalString;System.Double;39,487257783768
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0074) : DVHMeanDose;DecimalString;System.Double;6,85135025349494
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0001) : DVHType;CodeString;System.String;CUMULATIVE
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0002) : DoseUnits;CodeString;System.String;GY
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0004) : DoseType;CodeString;System.String;PHYSICAL
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0052) : DVHDoseScaling;DecimalString;System.Double;1
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0054) : DVHVolumeUnits;CodeString;System.String;CM3
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0056) : DVHNumberOfBins;IntegerString;System.Int32;4087
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0058) : DVHData;DecimalString;System.Double;0,01
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0060) : DVHReferencedROISequence;Sequence;EvilDICOM.Core.DICOMObject;DICOM Object [Unknown] : 2 Elements
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0062) : DVHROIContributionType;CodeString;System.String;INCLUDED
